Device,Time,Alert,Lat/Lng,Address,Driver(s),Speed (mph)
Joe,03/06/2025 09:02:45 AM,Engine Idle,"38.476959°, -122.751266°","3543 Coffey Meadow Pl, Santa Rosa, CA 95403, USA",N/A,0.0
Joe,03/07/2025 09:04:38 AM,Engine Idle,"38.476945°, -122.751264°","3543 Coffey Meadow Pl, Santa Rosa, CA 95403, USA",N/A,0.0
Joe,03/07/2025 09:22:03 AM,"DTC Alerts (code[P0400]:EGR ""A"" Flow)","38.480464°, -122.758254°","2220 Tapian Way, Santa Rosa, CA 95403, USA",N/A,0.0
Joe,03/07/2025 02:35:07 PM,Harsh Cornering,"38.348336°, -122.712847°","US 101, Rohnert Park, CA 94928, USA",N/A,40.4
Joe,03/09/2025 06:05:35 PM,After Hours,"38.392851°, -122.741585°","3468 Stony Point Rd, Santa Rosa, CA 95407, USA",N/A,40.6
Joe,03/10/2025 09:13:20 AM,Engine Idle,"38.476944°, -122.751311°","3543 Coffey Meadow Pl, Santa Rosa, CA 95403, USA",N/A,0.0
Joe,03/10/2025 10:13:58 AM,Engine Idle,"38.245440°, -122.612551°","1509 Meadowlark Ln, Petaluma, CA 94954, USA",N/A,0.0
Joe,03/10/2025 02:59:58 PM,Harsh Cornering,"38.371619°, -122.779689°","5111 Todd Rd, Sebastopol, CA 95472, USA",N/A,34.4
Joe,03/11/2025 09:00:00 AM,Engine Idle,"38.476943°, -122.751278°","3543 Coffey Meadow Pl, Santa Rosa, CA 95403, USA",N/A,0.0
Joe,03/12/2025 08:38:19 AM,Engine Idle,"38.476951°, -122.751311°","3543 Coffey Meadow Pl, Santa Rosa, CA 95403, USA",N/A,0.0
Joe,03/12/2025 12:48:03 PM,Engine Idle,"38.479125°, -122.666056°","5023 Rick Dr, Santa Rosa, CA 95409, USA",N/A,0.0
Joe,03/12/2025 07:37:56 PM,After Hours,"38.435098°, -122.744139°","358 Brockhurst Dr, Santa Rosa, CA 95401, USA",N/A,4.6
PORTER,01/02/2025 07:42:41 AM,Engine Idle,"38.229126°, -122.624489°","1033 Warren Dr, Petaluma, CA 94952, USA",N/A,0.0
PORTER,01/02/2025 07:55:26 AM,After Hours,"38.221344°, -122.607109°","US-101, Petaluma, CA 94952, USA",N/A,6.5
PORTER,01/03/2025 07:27:22 AM,Engine Idle,"38.229000°, -122.624718°","1005 Warren Dr, Petaluma, CA 94952, USA",N/A,0.7
PORTER,01/03/2025 07:51:41 AM,After Hours,"38.253673°, -122.623215°","101 Penrod Dr, Petaluma, CA 94954, USA",N/A,10.2
PORTER,01/06/2025 08:11:55 AM,Engine Idle,"38.229095°, -122.624603°","1001 Warren Dr, Petaluma, CA 94952, USA",N/A,0.0
PORTER,01/06/2025 11:39:28 AM,Engine Idle,"38.342525°, -122.715416°","466 Primero Ct, Cotati, CA 94931, USA",N/A,0.0
PORTER,01/07/2025 03:50:32 PM,Device Disconnected,"38.229126°, -122.624367°","1033 Warren Dr, Petaluma, CA 94952, USA",N/A,0.0
PORTER,01/08/2025 07:49:56 AM,After Hours,"38.227097°, -122.622658°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,13.4
PORTER,01/09/2025 07:59:18 AM,After Hours,"38.228100°, -122.622230°","224 McNear Cir, Petaluma, CA 94952, USA",N/A,13.1
PORTER,01/10/2025 07:51:01 AM,After Hours,"38.248886°, -122.626304°","101 N McDowell Blvd, Petaluma, CA 94954, USA",N/A,27.9
PORTER,01/13/2025 08:02:06 AM,After Hours,"38.227123°, -122.622665°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,11.7
PORTER,01/15/2025 07:59:20 AM,After Hours,"38.227097°, -122.622673°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,13.1
PORTER,01/21/2025 07:46:17 AM,After Hours,"38.227093°, -122.622642°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,12.9
PORTER,01/21/2025 06:35:55 PM,After Hours,"38.233723°, -122.604484°","2610 Lakeville Hwy, Petaluma, CA 94954, USA",N/A,10.9
PORTER,01/23/2025 06:58:51 PM,After Hours,"38.331619°, -122.715111°","8501 Hwy 116 S, Cotati, CA 94931, USA",N/A,16.3
PORTER,01/24/2025 07:27:12 AM,Engine Idle,"38.229111°, -122.624763°","1001 Warren Dr, Petaluma, CA 94952, USA",N/A,0.0
PORTER,01/24/2025 07:49:46 AM,After Hours,"38.229130°, -122.624557°","1001 Warren Dr, Petaluma, CA 94952, USA",N/A,5.3
PORTER,01/25/2025 11:54:13 AM,Harsh Cornering,"38.340595°, -122.713890°","410 Aaron St, Cotati, CA 94931, USA",N/A,26.5
PORTER,01/25/2025 12:14:53 PM,Harsh Cornering,"38.348144°, -122.712799°","US 101, Rohnert Park, CA 94928, USA",N/A,39.1
PORTER,01/28/2025 07:48:23 AM,After Hours,"38.227116°, -122.622658°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,15.3
PORTER,01/29/2025 08:49:54 AM,Engine Idle,"38.229019°, -122.624634°","1001 Warren Dr, Petaluma, CA 94952, USA",N/A,0.0
PORTER,01/30/2025 08:12:12 AM,Engine Idle,"38.229092°, -122.624634°","1001 Warren Dr, Petaluma, CA 94952, USA",N/A,0.0
